id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,137,31,487,2025-06-20,2.66,2,290,25,"Quebec - Registration number<br />267153, expires: 2026-03-31"
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,305,2,156,2025-06-16,0.96,2,327,19,"Quebec - Registration number<br />267153, expires: 2026-03-31"
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,154,210,52,2024-08-31,0.42,8,295,1,
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,47,31,17,2024-08-31,0.10,3,330,1,
50479,L'Arcade Douce,231694,Noemie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,143,3,340,2025-06-16,1.90,2,35,63,"Quebec - Registration number<br />271530, expires: 2026-04-30"
66247,Modern Loft Next To Basilica Notre Dame In Old Mtl,318040,Seb,,Ville-Marie,45.50584,-73.55602,Entire home/apt,150,3,548,2025-06-11,3.10,5,229,79,"Quebec - Registration number<br />314544, expires: 2025-07-14T00:00:00Z"
66276,Urban Study/Work Retreat,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46133041381836,-73.62896728515625,Entire home/apt,54,32,46,2025-06-01,0.26,2,25,4,
70489,Ultra Luxurious - City Center,145990,Marc Andre,,Ville-Marie,45.5019,-73.56354,Entire home/apt,90,31,1,2013-10-15,0.01,2,208,0,
70801,"Large, sunny house with garden near Old MTL",294382,Jennifer&Steeve,,Le Sud-Ouest,45.47812,-73.55698,Entire home/apt,417,32,44,2025-06-22,0.26,1,26,8,"Quebec - Registration number<br />310728, expires: 2025-07-31<br /><br />Montreal - Registration Number<br />310728"
85267,Country feeling loft in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire home/apt,,365,40,2024-05-30,0.23,8,265,0,
99859,Plateau Charm,525486,Sesaye,,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire home/apt,232,31,44,2023-08-07,0.26,1,345,0,
103128,Family home in Plateau neighbourhood,538123,Raquel,,Le Plateau-Mont-Royal,45.51933,-73.57472,Entire home/apt,190,5,19,2025-01-02,0.11,1,5,1,"Quebec - Registration number<br />308019, expires: 2025-11-19"
135275,"Charming aparthotel, little Italie",520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire home/apt,129,31,81,2025-06-05,0.48,3,49,5,
137443,"Apt + garden (Mile End, Plateau) / # CiTQ 310398",656725,Christophe,,Le Plateau-Mont-Royal,45.52663,-73.60145,Entire home/apt,257,2,85,2025-06-16,0.52,1,253,15,"Quebec - Registration number<br />310398, expires: 2026-06-30"
142722,Charming studio in Plateau heart,381468,Sylvie,,Le Plateau-Mont-Royal,45.52851,-73.58224,Entire home/apt,,32,130,2025-05-31,0.76,8,51,3,
160600,Spacious 2 BDR+Office Close to Universities & Work,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.461334228515625,-73.62901306152344,Entire home/apt,88,32,31,2025-02-28,0.18,2,305,4,
164087,Functional studio (Secret Studio) -plateau,604849,Martin,,Le Plateau-Mont-Royal,45.528545,-73.579308,Entire home/apt,140,2,804,2025-06-10,4.76,2,44,64,"Quebec - Registration number<br />291093, expires: 2026-01-31"
165108,The Cocooning in the heart of Rosemont,787391,Karine,,Rosemont-La Petite-Patrie,45.54673,-73.57181,Entire home/apt,84,31,32,2022-01-02,0.19,3,94,0,
168331,Modern vintage 2 BDR in heart plateau,604849,Martin,,Le Plateau-Mont-Royal,45.528431,-73.578979,Entire home/apt,326,2,711,2025-05-31,4.24,2,35,58,"Quebec - Registration number<br />291093, expires: 2026-01-31"
171627,MINI LOUNGE LOFT,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49406,-73.62555,Entire home/apt,60,31,2,2022-08-07,0.01,3,329,0,
180947,"Loft at Unity 1, Downtown - 423",387422,Service,,Ville-Marie,45.50312,-73.56346,Entire home/apt,127,31,5,2022-03-22,0.03,5,331,0,
182142,BESTofMTL-5Bed-2WC-AC-car-rooftop-GYM-HouseKeeping,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49172,-73.6247,Entire home/apt,200,31,3,2022-12-31,0.08,3,329,0,
190003,Large sunny room HEARTH of plateau,640693,Marco,,Le Plateau-Mont-Royal,45.51937,-73.56999,Private room,13294,99,1,2011-08-13,0.01,1,365,0,
200322,A double room 15th of December- Jan 31 (bedroom 2),163569,M.,,Ville-Marie,45.52735,-73.55765,Private room,68,31,1,2022-08-06,0.03,3,90,0,
208337,"Large apartment, terrace and garden",1025518,Christian Et Judith,,Le Plateau-Mont-Royal,45.53217,-73.58388,Entire home/apt,210,16,22,2022-08-28,0.13,2,28,0,"Quebec - Registration number<br />306474, expires: 2025-08-31"
211602,Beautiful sun-filled Studio,407029,Juan,,Baie-d'Urfé,45.41282,-73.90712,Entire home/apt,139,31,219,2023-10-26,1.54,1,158,0,"Quebec - Registration number<br />311701, expires: 2024-12-22"
222430,"Private top floor, downtown view",1020994,Melanie,,Ville-Marie,45.4901,-73.56718,Private room,40,31,21,2023-12-23,0.13,7,296,0,
231472,Charmant appartement équipé,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53839,-73.61759,Entire home/apt,89,31,21,2020-03-31,0.13,3,13,0,
233584,Spacious room- doubl bed- townhouse,1020994,Melanie,,Le Sud-Ouest,45.49031,-73.56686,Private room,30,32,7,2024-06-01,0.04,7,195,0,
234198,Lovely studio in little garden,381468,Sylvie,,Le Plateau-Mont-Royal,45.52991,-73.58205,Entire home/apt,140,32,55,2024-07-25,0.34,8,89,1,
